s;Players
30.03.2018 00:00;950
31.03.2018 00:00;959
01.04.2018 00:00;953
02.04.2018 00:00;848
03.04.2018 00:00;704
04.04.2018 00:00;636
05.04.2018 00:00;687
06.04.2018 00:00;651
07.04.2018 00:00;896
08.04.2018 00:00;876
09.04.2018 00:00;615
10.04.2018 00:00;518
11.04.2018 00:00;487
12.04.2018 00:00;502
13.04.2018 00:00;985
14.04.2018 00:00;1686
15.04.2018 00:00;1691
16.04.2018 00:00;1170
17.04.2018 00:00;986
18.04.2018 00:00;872
19.04.2018 00:00;793
20.04.2018 00:00;796
21.04.2018 00:00;958
22.04.2018 00:00;1024
23.04.2018 00:00;711
24.04.2018 00:00;662
25.04.2018 00:00;825
26.04.2018 00:00;856
27.04.2018 00:00;1016
28.04.2018 00:00;1041
29.04.2018 00:00;1185
30.04.2018 00:00;882
01.05.2018 00:00;937
02.05.2018 00:00;722
03.05.2018 00:00;654
04.05.2018 00:00;799
05.05.2018 00:00;873
06.05.2018 00:00;916
07.05.2018 00:00;653
08.05.2018 00:00;575
09.05.2018 00:00;503
10.05.2018 00:00;841
11.05.2018 00:00;1615
12.05.2018 00:00;2674
13.05.2018 00:00;2975
14.05.2018 00:00;2371
15.05.2018 00:00;1912
16.05.2018 00:00;1507
17.05.2018 00:00;1243
18.05.2018 00:00;1205
19.05.2018 00:00;1505
20.05.2018 00:00;1435
21.05.2018 00:00;1124
22.05.2018 00:00;916
23.05.2018 00:00;786
24.05.2018 00:00;784
25.05.2018 00:00;726
26.05.2018 00:00;807
27.05.2018 00:00;879
28.05.2018 00:00;759
29.05.2018 00:00;652
30.05.2018 00:00;562
31.05.2018 00:00;565
01.06.2018 00:00;657
02.06.2018 00:00;762
03.06.2018 00:00;724
04.06.2018 00:00;567
05.06.2018 00:00;516
06.06.2018 00:00;500
07.06.2018 00:00;440
08.06.2018 00:00;477
09.06.2018 00:00;573
10.06.2018 00:00;545
11.06.2018 00:00;446
12.06.2018 00:00;385
13.06.2018 00:00;341
14.06.2018 00:00;346
15.06.2018 00:00;1025
16.06.2018 00:00;1107
17.06.2018 00:00;1142
18.06.2018 00:00;867
19.06.2018 00:00;856
20.06.2018 00:00;773
21.06.2018 00:00;849
22.06.2018 00:00;1366
23.06.2018 00:00;1716
24.06.2018 00:00;2189
25.06.2018 00:00;1888
26.06.2018 00:00;2081
27.06.2018 00:00;1817
28.06.2018 00:00;1627
29.06.2018 00:00;1610
30.06.2018 00:00;1913
01.07.2018 00:00;2032
02.07.2018 00:00;1660
03.07.2018 00:00;1952
04.07.2018 00:00;2324
05.07.2018 00:00;1922
06.07.2018 00:00;1668
07.07.2018 00:00;1741
08.07.2018 00:00;1746
09.07.2018 00:00;1296
10.07.2018 00:00;1201
11.07.2018 00:00;1113
12.07.2018 00:00;1131
13.07.2018 00:00;1129
14.07.2018 00:00;1225
15.07.2018 00:00;1231
16.07.2018 00:00;961
17.07.2018 00:00;885
18.07.2018 00:00;784
19.07.2018 00:00;819
20.07.2018 00:00;831
21.07.2018 00:00;957
22.07.2018 00:00;1014
23.07.2018 00:00;749
24.07.2018 00:00;697
25.07.2018 00:00;612
26.07.2018 00:00;592
27.07.2018 00:00;582
28.07.2018 00:00;719
29.07.2018 00:00;820
30.07.2018 00:00;602
31.07.2018 00:00;566
01.08.2018 00:00;563
02.08.2018 00:00;515
03.08.2018 00:00;505
04.08.2018 00:00;591
05.08.2018 00:00;751
06.08.2018 00:00;569
07.08.2018 00:00;476
08.08.2018 00:00;446
09.08.2018 00:00;474
10.08.2018 00:00;433
11.08.2018 00:00;482
12.08.2018 00:00;565
13.08.2018 00:00;423
14.08.2018 00:00;400
15.08.2018 00:00;358
16.08.2018 00:00;318
17.08.2018 00:00;371
18.08.2018 00:00;445
19.08.2018 00:00;509
20.08.2018 00:00;412
21.08.2018 00:00;363
22.08.2018 00:00;317
23.08.2018 00:00;368
24.08.2018 00:00;351
25.08.2018 00:00;407
26.08.2018 00:00;425
27.08.2018 00:00;409
28.08.2018 00:00;318
29.08.2018 00:00;359
30.08.2018 00:00;370
31.08.2018 00:00;675
01.09.2018 00:00;713
02.09.2018 00:00;654
03.09.2018 00:00;796
04.09.2018 00:00;742
05.09.2018 00:00;1169
06.09.2018 00:00;1271
07.09.2018 00:00;1318
08.09.2018 00:00;1311
09.09.2018 00:00;1323
10.09.2018 00:00;939
11.09.2018 00:00;859
12.09.2018 00:00;736
13.09.2018 00:00;677
14.09.2018 00:00;682
15.09.2018 00:00;933
16.09.2018 00:00;862
17.09.2018 00:00;622
18.09.2018 00:00;565
19.09.2018 00:00;542
20.09.2018 00:00;1043
21.09.2018 00:00;1025
22.09.2018 00:00;1114
23.09.2018 00:00;1187
24.09.2018 00:00;856
25.09.2018 00:00;711
26.09.2018 00:00;687
27.09.2018 00:00;671
28.09.2018 00:00;787
29.09.2018 00:00;947
30.09.2018 00:00;980
01.10.2018 00:00;763
02.10.2018 00:00;734
03.10.2018 00:00;657
04.10.2018 00:00;669
05.10.2018 00:00;818
06.10.2018 00:00;974
07.10.2018 00:00;1020
08.10.2018 00:00;824
09.10.2018 00:00;693
10.10.2018 00:00;661
11.10.2018 00:00;1221
12.10.2018 00:00;1195
13.10.2018 00:00;1378
14.10.2018 00:00;1412
15.10.2018 00:00;1025
16.10.2018 00:00;925
17.10.2018 00:00;903
18.10.2018 00:00;762
19.10.2018 00:00;866
20.10.2018 00:00;1035
21.10.2018 00:00;1100
22.10.2018 00:00;845
23.10.2018 00:00;782
24.10.2018 00:00;686
25.10.2018 00:00;899
26.10.2018 00:00;837
27.10.2018 00:00;994
28.10.2018 00:00;1067
29.10.2018 00:00;827
30.10.2018 00:00;915
31.10.2018 00:00;921
01.11.2018 00:00;975
02.11.2018 00:00;972
03.11.2018 00:00;1105
04.11.2018 00:00;1114
05.11.2018 00:00;763
06.11.2018 00:00;691
07.11.2018 00:00;618
08.11.2018 00:00;561
09.11.2018 00:00;679
10.11.2018 00:00;763
11.11.2018 00:00;777
12.11.2018 00:00;655
13.11.2018 00:00;563
14.11.2018 00:00;768
15.11.2018 00:00;771
16.11.2018 00:00;906
17.11.2018 00:00;1224
18.11.2018 00:00;1303
19.11.2018 00:00;879
20.11.2018 00:00;742
21.11.2018 00:00;942
22.11.2018 00:00;1067
23.11.2018 00:00;1358
24.11.2018 00:00;1518
25.11.2018 00:00;1578
26.11.2018 00:00;1272
27.11.2018 00:00;1152
28.11.2018 00:00;985
29.11.2018 00:00;2546
30.11.2018 00:00;2638
01.12.2018 00:00;3256
02.12.2018 00:00;3018
03.12.2018 00:00;2248
04.12.2018 00:00;2016
05.12.2018 00:00;1920
06.12.2018 00:00;1712
07.12.2018 00:00;1578
08.12.2018 00:00;1973
09.12.2018 00:00;1815
10.12.2018 00:00;1353
11.12.2018 00:00;1197
12.12.2018 00:00;1112
13.12.2018 00:00;1092
14.12.2018 00:00;1179
15.12.2018 00:00;1626
16.12.2018 00:00;1558
17.12.2018 00:00;1162
18.12.2018 00:00;1461
19.12.2018 00:00;1388
20.12.2018 00:00;1279
21.12.2018 00:00;1947
22.12.2018 00:00;2662
23.12.2018 00:00;2690
24.12.2018 00:00;2245
25.12.2018 00:00;2448
26.12.2018 00:00;2890
27.12.2018 00:00;2738
28.12.2018 00:00;2784
29.12.2018 00:00;3030
30.12.2018 00:00;3169
31.12.2018 00:00;2707
01.01.2019 00:00;3083
02.01.2019 00:00;2749
03.01.2019 00:00;2426
04.01.2019 00:00;2566
05.01.2019 00:00;2814
06.01.2019 00:00;2787
07.01.2019 00:00;2022
08.01.2019 00:00;1777
09.01.2019 00:00;1586
10.01.2019 00:00;1588
11.01.2019 00:00;1818
12.01.2019 00:00;2420
13.01.2019 00:00;2401
14.01.2019 00:00;1728
15.01.2019 00:00;1572
16.01.2019 00:00;1471
17.01.2019 00:00;1410
18.01.2019 00:00;1749
19.01.2019 00:00;2092
20.01.2019 00:00;2252
21.01.2019 00:00;1896
22.01.2019 00:00;1560
23.01.2019 00:00;1545
24.01.2019 00:00;1416
25.01.2019 00:00;1483
26.01.2019 00:00;1817
27.01.2019 00:00;1900
28.01.2019 00:00;1470
29.01.2019 00:00;1336
30.01.2019 00:00;1211
31.01.2019 00:00;1213
01.02.2019 00:00;1271
02.02.2019 00:00;1628
03.02.2019 00:00;1650
04.02.2019 00:00;1297
05.02.2019 00:00;1239
06.02.2019 00:00;2374
